id,Latitude,Longitude
0,219794.55,144727.11
1,220127.52,144299.64
2,220199.97,144287.36
3,220168.61,142008.03
4,220347.5,142280.45
5,220048.86,141482.31
6,219952.7,144192.34
7,220050.67,144142.61
8,219830.11,143550.84
9,220127.28,142527.97
10,220311.62,142276.27
11,220016.28,142651.88
12,219227.69,141179.2
13,219027.61,141074.4
14,219273.05,141314.03
15,219823.42,144636.9
16,219827.28,144704.14
17,219873.45,144641.89
18,220774.5,143540.48
19,221131.56,143247.2
20,221301.36,142938.1
21,220351.14,144175.83
22,219422.02,145200.94
23,219901.48,144635.25
24,218847.33,144109.98
25,218590.94,144371.44
26,218855.55,144120.14
27,221540.61,142648.89
28,220863.56,143638.25
29,221501.75,142699.2
30,219203.48,145664.3
31,218741.94,144771.4
32,218865.3,145310.56
33,221024.52,143242.86
34,220775.61,143534.56
35,220706.72,143619.33
36,220880.45,143481.45
37,221229.39,143088.5
38,221298.83,142905.23
39,218321.44,144863.72
40,218809.5,145236.42
41,218204.38,144743.81
42,220202.05,142373.2
43,220232.17,142333.22
44,220016.58,142630.7
45,220059.67,144201.38
46,220073.97,143648.23
47,219834.64,144395.44
48,220378.6,142330.86
49,220702.47,142537.45
50,220921.31,142739.0
51,218842.48,144095.56
52,218968.1,143978.98
53,218882.89,144065.05
54,220361.22,142319.11
55,220917.56,142748.61
56,220935.03,143009.14
57,219942.06,141932.66
58,219884.69,141633.47
59,220273.36,142233.02
60,219866.03,144690.62
61,219182.97,145443.72
62,220271.9,143939.83
63,220230.03,143797.06
64,219934.62,143612.11
65,219699.83,143464.66
66,219421.58,141432.11
67,218991.03,141054.3
68,219228.75,141266.14
69,220160.38,143588.0
70,220121.67,143569.28
71,220196.84,143812.67
72,220031.38,141961.61
73,220080.03,141396.73
74,219862.05,141870.44
75,218403.14,144606.86
76,218450.34,144541.28
77,218907.9,144047.38
78,218156.88,144670.78
79,218288.53,144883.97
80,218412.2,144803.22
81,218542.7,144434.58
82,218314.44,144781.34
83,218711.45,144250.86
84,218913.83,145376.36
85,219042.6,145500.42
86,218472.67,145042.05
87,218495.45,143520.9
88,217864.89,144278.55
89,217950.56,144508.14
90,220166.94,143587.02
91,220339.06,143582.97
92,220123.64,143654.02
93,220177.78,142160.12
94,219922.42,141719.08
96,218853.36,141166.7
97,219463.42,141454.56
98,219695.61,141702.1
99,220737.11,143690.6
100,221280.16,142910.89
101,220713.64,143757.25
102,220001.98,143660.55
103,220050.23,144232.42
104,219815.98,144528.52
105,219283.0,145755.38
106,218379.66,144927.25
107,218694.77,145236.4
108,219686.98,144836.61
109,219817.5,144721.03
110,220078.16,144327.08
111,219779.67,141759.55
112,220327.7,142276.31
113,219767.69,141764.83
114,218803.39,145297.6
115,218297.78,144837.39
116,219226.23,145763.34
117,220668.67,143639.88
118,220915.25,143379.97
119,220631.95,143670.47
120,220535.88,143856.45
121,220342.3,143952.42
122,220466.62,143888.31
123,219513.08,143347.34
124,219876.4,143572.9
125,219762.36,143503.62
126,219081.53,145458.78
127,219244.06,145278.56
128,220002.11,144327.62
129,218808.28,144163.27
130,218661.97,144293.89
131,218448.95,144550.25
132,219018.06,143910.22
133,218859.47,144086.66
134,219161.83,143736.97
135,221013.44,143228.4
136,221346.97,142875.75
137,220971.55,143439.86
138,218431.53,144960.08
139,218598.53,145092.36
140,218945.36,145395.5
141,218579.0,143437.34
142,218218.14,143811.5
143,218233.14,143796.28
144,220490.97,142338.55
147,219740.48,144545.31
148,219651.73,143403.06
149,219962.11,144185.45
150,220967.83,143493.27
151,220789.9,143466.88
152,221288.48,142944.06
153,219393.36,141415.95
154,219573.56,141608.9
155,219595.45,141586.38
156,221165.98,142910.92
157,221670.42,142529.03
162,218727.3,144908.17
163,218344.61,144872.27
164,219207.81,145510.66
165,217806.02,144397.39
166,218289.52,143743.61
167,217819.27,144411.14
168,218395.03,144571.8
169,218769.16,144166.67
170,218573.47,144323.14
171,219862.27,141637.69
172,219884.9,141721.12
173,219984.58,141490.56
174,220159.86,142490.8
175,219642.27,143104.39
176,219724.7,142995.36
177,221153.03,143224.78
178,221136.83,143190.83
179,220770.89,143672.23
180,220754.34,143644.17
181,220985.27,143245.7
182,220777.72,143594.83
183,218493.31,143525.44
184,217856.23,144421.17
185,218194.97,143833.83
186,220868.94,143439.2
187,220590.84,143635.22
188,220909.31,143405.14
189,219487.22,141506.48
190,219547.47,141578.62
191,219592.67,141591.92
192,220300.8,142297.83
193,220325.39,142243.08
194,221002.0,142793.88
195,221495.19,142672.34
196,221038.27,143336.81
197,221114.05,143218.75
198,219523.78,143337.97
199,219939.47,143599.31
200,220289.66,144036.62
201,218910.14,144018.11
202,219243.53,143651.1
203,218957.6,143974.02
204,220254.75,142372.19
205,220790.44,142625.33
206,220411.03,142320.48
207,220282.23,142282.47
208,220143.14,142473.05
209,219820.95,142895.89
210,219185.9,143736.44
211,218955.83,143980.72
212,219033.94,143885.45
213,219817.05,141735.9
214,220071.84,141334.31
215,219812.16,141753.03
216,219564.62,143225.81
217,219742.8,143018.08
218,219831.8,142857.44
219,220727.11,143603.12
220,221069.89,143193.39
221,220726.73,143561.05
222,219584.25,143194.55
223,219714.25,143006.03
224,219591.75,143113.17
225,219530.0,143263.78
226,218913.27,144058.6
227,219457.61,143410.31
228,219727.03,144669.16
229,219963.89,144450.98
230,219591.78,144941.77
231,218641.27,143432.45
232,218555.7,143487.47
233,219071.23,143293.55
234,220513.12,143896.33
235,220391.52,143630.27
